Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,FALSE,WT1 10 ng,idgf6,Unknown,SYBR,20.88356463,0.968792634,1.547898782,Amp,FALSE,0.414684582,3,15,87.41752625,,,,,
A2,FALSE,WT1 5 ng,idgf6,Unknown,SYBR,21.79514682,0.975639991,1.548281771,Amp,FALSE,0.414684582,3,16,87.41752625,,,,,
A3,FALSE,WT1 2.5 ng,idgf6,Unknown,SYBR,22.73092393,0.986491496,1.552898155,Amp,FALSE,0.414684582,3,17,87.57772064,,,,,
A4,FALSE,WT1 1.25 ng,idgf6,Unknown,SYBR,23.8088196,0.987531476,1.549674924,Amp,FALSE,0.414684582,3,18,87.57772064,,,,,
A5,FALSE,WT1 0.625 ng,idgf6,Unknown,SYBR,24.89873511,0.990845333,1.535481482,Amp,FALSE,0.414684582,3,18,87.71481323,,,,,
A6,FALSE,WT1 0 ng,idgf6,Unknown,SYBR,38,0.942455791,1.226673624,Amp,FALSE,0.414684582,3,32,91.85591888,64.46094513,86.75917816,71.62823486,,
A7,FALSE,WT2 10 ng,idgf6,Unknown,SYBR,21.54771375,0.976711387,1.539690949,Amp,FALSE,0.414684582,3,16,87.56607056,,,,,
A8,FALSE,WT2 5 ng,idgf6,Unknown,SYBR,22.56013881,0.98321419,1.541741007,Amp,FALSE,0.414684582,3,16,87.56607056,,,,,
A9,FALSE,WT2 2.5 ng,idgf6,Unknown,SYBR,23.28485754,0.979985618,1.550905206,Amp,FALSE,0.414684582,3,17,87.58583069,,,,,
A10,FALSE,WT2 1.25 ng,idgf6,Unknown,SYBR,24.00450164,0.979278893,1.550713636,Amp,FALSE,0.414684582,3,18,87.58583069,,,,,
A11,FALSE,WT2 0.625 ng,idgf6,Unknown,SYBR,24.33742543,0.977084777,1.541555777,Amp,FALSE,0.414684582,3,18,87.55606842,,,,,
A12,FALSE,WT2 0 ng,idgf6,Unknown,SYBR,33.72752916,0.976199292,1.52425633,Amp,FALSE,0.414684582,3,26,87.39678955,,,,,
B1,FALSE,WT1 10 ng,idgf6,Unknown,SYBR,20.87177484,0.972063723,1.541325753,Amp,FALSE,0.414684582,3,15,87.25813293,,,,,
B2,FALSE,WT1 5 ng,idgf6,Unknown,SYBR,21.66923227,0.982692688,1.552442049,Amp,FALSE,0.414684582,3,16,87.41752625,,,,,
B3,FALSE,WT1 2.5 ng,idgf6,Unknown,SYBR,22.64694066,0.98004492,1.560568811,Amp,FALSE,0.414684582,3,16,87.4183197,,,,,
B4,FALSE,WT1 1.25 ng,idgf6,Unknown,SYBR,23.57384098,0.985355901,1.562732863,Amp,FALSE,0.414684582,3,17,87.57772064,,,,,
B5,FALSE,WT1 0.625 ng,idgf6,Unknown,SYBR,24.55036754,0.990242905,1.568403436,Amp,FALSE,0.414684582,3,18,87.55554199,,,,,
B6,FALSE,WT1 0 ng,idgf6,Unknown,SYBR,35.07546211,0.979533996,1.50485121,Amp,FALSE,0.414684582,3,29,89.30754852,,,,,
B7,FALSE,WT2 10 ng,idgf6,Unknown,SYBR,21.48093853,0.977851484,1.553888398,Amp,FALSE,0.414684582,3,16,87.40673828,,,,,
B8,FALSE,WT2 5 ng,idgf6,Unknown,SYBR,22.94757129,0.981530875,1.494704753,Amp,FALSE,0.414684582,3,16,87.56607056,,,,,
B9,FALSE,WT2 2.5 ng,idgf6,Unknown,SYBR,23.48387451,0.990199504,1.556442362,Amp,FALSE,0.414684582,3,17,87.4263916,,,,,
B10,FALSE,WT2 1.25 ng,idgf6,Unknown,SYBR,24.73257719,0.983968246,1.550645163,Amp,FALSE,0.414684582,3,19,87.74528503,,,,,
B11,FALSE,WT2 0.625 ng,idgf6,Unknown,SYBR,24.2552438,0.98312182,1.552632242,Amp,FALSE,0.414684582,3,18,87.55606842,,,,,
B12,FALSE,WT2 0 ng,idgf6,Unknown,SYBR,37.34667136,0.960057082,1.304942092,Amp,FALSE,0.414684582,3,31,90.42304993,72.90261078,,,,
C1,FALSE,WT1 10 ng,idgf6,Unknown,SYBR,20.82545864,0.983524132,1.548926819,Amp,FALSE,0.414684582,3,15,87.25813293,,,,,
C2,FALSE,WT1 5 ng,idgf6,Unknown,SYBR,21.66588672,0.981174429,1.554360032,Amp,FALSE,0.414684582,3,16,87.41752625,,,,,
C3,FALSE,WT1 2.5 ng,idgf6,Unknown,SYBR,22.62474144,0.98444035,1.559816743,Amp,FALSE,0.414684582,3,16,87.4183197,,,,,
C4,FALSE,WT1 1.25 ng,idgf6,Unknown,SYBR,23.63356882,0.986519179,1.570140122,Amp,FALSE,0.414684582,3,18,87.57772064,,,,,
C5,FALSE,WT1 0.625 ng,idgf6,Unknown,SYBR,24.47186078,0.983661562,1.569258754,Amp,FALSE,0.414684582,3,18,87.55554199,,,,,
C6,FALSE,WT1 0 ng,idgf6,Unknown,SYBR,33.44847086,0.983490979,1.561063604,Amp,FALSE,0.414684582,3,27,91.05955505,,,,,
C7,FALSE,WT2 10 ng,idgf6,Unknown,SYBR,21.44996528,0.985170073,1.555135501,Amp,FALSE,0.414684582,3,15,87.40673828,,,,,
C8,FALSE,WT2 5 ng,idgf6,Unknown,SYBR,22.59517769,0.986589589,1.553841233,Amp,FALSE,0.414684582,3,17,87.56607056,,,,,
C9,FALSE,WT2 2.5 ng,idgf6,Unknown,SYBR,23.41306021,0.985161237,1.557365743,Amp,FALSE,0.414684582,3,17,87.58583069,,,,,
C10,FALSE,WT2 1.25 ng,idgf6,Unknown,SYBR,25.39069014,0.986918882,1.547224938,Amp,FALSE,0.414684582,3,19,87.4263916,,,,,
C11,FALSE,WT2 0.625 ng,idgf6,Unknown,SYBR,24.20053069,0.981848131,1.554339867,Amp,FALSE,0.414684582,3,18,87.55606842,,,,,
C12,FALSE,WT2 0 ng,idgf6,Unknown,SYBR,31.1618406,0.980563907,1.493845343,Amp,FALSE,0.414684582,3,25,92.01581573,,,,,