FBab0028744,Enhancer
FBab0030339,Enhancer
FBab0045518,Enhancer
FBab0001695,Enhancer
FBab0029744,Enhancer
FBab0037839,Enhancer
FBab0038758,Enhancer
FBab0031910,Enhancer
FBab0032709,Enhancer
FBab0037999,Enhancer
FBab0038007,Enhancer
FBab0029795,Enhancer
FBab0029927,Enhancer
FBab0035953,Enhancer
FBab0045193,Enhancer
FBab0045889,Enhancer
FBab0023708,Enhancer
FBab0002280,Enhancer
FBab0035850,Enhancer
FBab0043178,Enhancer
FBab0045095,Enhancer
FBab0045203,Enhancer
FBab0045458,Enhancer
FBab0045739,Enhancer
FBab0045927,Enhancer
FBab0046622,Enhancer
FBab0038210,Enhancer
FBab0045856,Enhancer
FBab0045815,Enhancer
FBab0002482,Lethal
FBab0009005,Lethal
FBab0045706,Lethal
FBab0001981,Lethal
FBab0045850,No Effect
FBab0046239,No Effect
FBab0000474,No Effect
FBab0037800,No Effect
FBab0037805,No Effect
FBab0037827,No Effect
FBab0030905,No Effect
FBab0030428,No Effect
FBab0030353,No Effect
FBab0030759,No Effect
FBab0030773,No Effect
FBab0030194,No Effect
FBab0044998,No Effect
FBab0030837,No Effect
FBab0045127,No Effect
FBab0045422,No Effect
FBab0045697,No Effect
FBab0045791,No Effect
FBab0045908,No Effect
FBab0045959,No Effect
FBab0046559,No Effect
FBab0026718,No Effect
FBab0031262,No Effect
FBab0000979,No Effect
FBab0044923,No Effect
FBab0045777,No Effect
FBab0030012,No Effect
FBab0030570,No Effect
FBab0030829,No Effect
FBab0030841,No Effect
FBab0045002,No Effect
FBab0045125,No Effect
FBab0045852,No Effect
FBab0046236,No Effect
FBab0000349,No Effect
FBab0037801,No Effect
FBab0030618,No Effect
FBab0030872,No Effect
FBab0045129,No Effect
FBab0045466,No Effect
FBab0045537,No Effect
FBab0045785,No Effect
FBab0045786,No Effect
FBab0045826,No Effect
FBab0045960,No Effect
FBab0046235,No Effect
FBab0045824,No Effect
FBab0001786,No Effect
FBab0037634,No Effect
FBab0038756,No Effect
FBab0040372,No Effect
FBab0040373,No Effect
FBab0032546,No Effect
FBab0001903,No Effect
FBab0001429,No Effect
FBab0037847,No Effect
FBab0037854,No Effect
FBab0037889,No Effect
FBab0037932,No Effect
FBab0032414,No Effect
FBab0031954,No Effect
FBab0044835,No Effect
FBab0045063,No Effect
FBab0045086,No Effect
FBab0031520,No Effect
FBab0001490,No Effect
FBab0001919,No Effect
FBab0001470,No Effect
FBab0001692,No Effect
FBab0001792,No Effect
FBab0029708,No Effect
FBab0037853,No Effect
FBab0037876,No Effect
FBab0045714,No Effect
FBab0044911,No Effect
FBab0044836,No Effect
FBab0045071,No Effect
FBab0044942,No Effect
FBab0031757,No Effect
FBab0045009,No Effect
FBab0044949,No Effect
FBab0045679,No Effect
FBab0032146,No Effect
FBab0046798,No Effect
FBab0045019,No Effect
FBab0022184,No Effect
FBab0031737,No Effect
FBab0031863,No Effect
FBab0032081,No Effect
FBab0044888,No Effect
FBab0045069,No Effect
FBab0045066,No Effect
FBab0045081,No Effect
FBab0044951,No Effect
FBab0045030,No Effect
FBab0032510,No Effect
FBab0032357,No Effect
FBab0045755,No Effect
FBab0045428,No Effect
FBab0033542,No Effect
FBab0045546,No Effect
FBab0045708,No Effect
FBab0045869,No Effect
FBab0046623,No Effect
FBab0022257,No Effect
FBab0001997,No Effect
FBab0038004,No Effect
FBab0038045,No Effect
FBab0032981,No Effect
FBab0033717,No Effect
FBab0034996,No Effect
FBab0044814,No Effect
FBab0045093,No Effect
FBab0044959,No Effect
FBab0045171,No Effect
FBab0045405,No Effect
FBab0045406,No Effect
FBab0045442,No Effect
FBab0045527,No Effect
FBab0045729,No Effect
FBab0045734,No Effect
FBab0045770,No Effect
FBab0045871,No Effect
FBab0045873,No Effect
FBab0045876,No Effect
FBab0045933,No Effect
FBab0046621,No Effect
FBab0046795,No Effect
FBab0038024,No Effect
FBab0038075,No Effect
FBab0038037,No Effect
FBab0044866,No Effect
FBab0044872,No Effect
FBab0045040,No Effect
FBab0045044,No Effect
FBab0045048,No Effect
FBab0045160,No Effect
FBab0045166,No Effect
FBab0045544,No Effect
FBab0045547,No Effect
FBab0045764,No Effect
FBab0045771,No Effect
FBab0045851,No Effect
FBab0046234,No Effect
FBab0046558,No Effect
FBab0034885,No Effect
FBab0045180,No Effect
FBab0038038,No Effect
FBab0032921,No Effect
FBab0033649,No Effect
FBab0033748,No Effect
FBab0033020,No Effect
FBab0035058,No Effect
FBab0033045,No Effect
FBab0044974,No Effect
FBab0045046,No Effect
FBab0045680,No Effect
FBab0045548,No Effect
FBab0045523,No Effect
FBab0033029,No Effect
FBab0044847,No Effect
FBab0029722,No Effect
FBab0038152,No Effect
FBab0035750,No Effect
FBab0045188,No Effect
FBab0045202,No Effect
FBab0045275,No Effect
FBab0045765,No Effect
FBab0045853,No Effect
FBab0045892,No Effect
FBab0045928,No Effect
FBab0022328,No Effect
FBab0002333,No Effect
FBab0038105,No Effect
FBab0035326,No Effect
FBab0035595,No Effect
FBab0035734,No Effect
FBab0045295,No Effect
FBab0045867,No Effect
FBab0043176,No Effect
FBab0043177,No Effect
FBab0045050,No Effect
FBab0045216,No Effect
FBab0045218,No Effect
FBab0045296,No Effect
FBab0045407,No Effect
FBab0045288,No Effect
FBab0045273,No Effect
FBab0045738,No Effect
FBab0000006,No Effect
FBab0029837,No Effect
FBab0002292,No Effect
FBab0045961,No Effect
FBab0029990,No Effect
FBab0038112,No Effect
FBab0038129,No Effect
FBab0038132,No Effect
FBab0038168,No Effect
FBab0035555,No Effect
FBab0035340,No Effect
FBab0043174,No Effect
FBab0044948,No Effect
FBab0029948,No Effect
FBab0035719,No Effect
FBab0035549,No Effect
FBab0035917,No Effect
FBab0045213,No Effect
FBab0002465,No Effect
FBab0037440,No Effect
FBab0036339,No Effect
FBab0045104,No Effect
FBab0045313,No Effect
FBab0036807,No Effect
FBab0045682,No Effect
FBab0045305,No Effect
FBab0045578,No Effect
FBab0045687,No Effect
FBab0045816,No Effect
FBab0045885,No Effect
FBab0038258,No Effect
FBab0037452,No Effect
FBab0036751,No Effect
FBab0002698,No Effect
FBab0038252,No Effect
FBab0038257,No Effect
FBab0044858,No Effect
FBab0045330,No Effect
FBab0045335,No Effect
FBab0045342,No Effect
FBab0045317,No Effect
FBab0045562,No Effect
FBab0045814,No Effect
FBab0045881,No Effect
FBab0038214,No Effect
FBab0037317,No Effect
FBab0037306,No Effect
FBab0044878,No Effect
FBab0044884,No Effect
FBab0036893,No Effect
FBab0036710,No Effect
FBab0023951,No Effect
FBab0000703,Suppressor
FBab0030211,Suppressor
FBab0030343,Suppressor
FBab0045128,Suppressor
FBab0045551,Suppressor
FBab0030257,Suppressor
FBab0030073,Suppressor
FBab0030942,Suppressor
FBab0045829,Suppressor
FBab0040199,Suppressor
FBab0030900,Suppressor
FBab0031675,Suppressor
FBab0044863,Suppressor
FBab0045072,Suppressor
FBab0044943,Suppressor
FBab0045087,Suppressor
FBab0045020,Suppressor
FBab0045023,Suppressor
FBab0044969,Suppressor
FBab0040919,Suppressor
FBab0031564,Suppressor
FBab0031406,Suppressor
FBab0001992,Suppressor
FBab0002048,Suppressor
FBab0044965,Suppressor
FBab0045043,Suppressor
FBab0044975,Suppressor
FBab0045350,Suppressor
FBab0045329,Suppressor
FBab0045571,Suppressor
FBab0033778,Suppressor
FBab0047263,Suppressor
FBab0035459,Suppressor
FBab0035327,Suppressor
FBab0035724,Suppressor
FBab0035791,Suppressor
FBab0035331,Suppressor
FBab0036097,Suppressor
FBab0045681,Suppressor
FBab0036254,Suppressor
FBab0035323,Suppressor
FBab0036217,Suppressor
FBab0035670,Suppressor
FBab0038269,Suppressor
FBab0045747,Suppressor
FBab0037407,Suppressor
FBab0045283,Suppressor
FBab0045319,Suppressor
FBab0045323,Suppressor
FBab0036748,Suppressor
FBab0038280,Suppressor
FBab0037582,Suppressor
FBab0037475,Suppressor
FBab0002687,Suppressor
FBab0036664,Suppressor
FBab0044185,Suppressor
FBab0037246,Suppressor
FBab0036852,Suppressor
FBab0036416,Suppressor
FBab0045302,Suppressor