"","GO:1901363","GO:0097159","GO:0032555","GO:0032553","GO:0017076","GO:0003723","GO:0043168","GO:0043167","GO:0000166","GO:1901265","GO:0016874","GO:0032559","GO:0004812","GO:0016875","GO:0030554","GO:0036094","GO:0005488","GO:0035639","GO:0097367","GO:0005524","GO:0003676","GO:0044183","GO:0003682","GO:0140098","GO:0140101","GO:0051082","GO:0003824","GO:0002161","GO:0004386"
"GO:1901363",0.83,0.297,0.559,0.56,0.56,0.634,0.209,0.245,0.58,0.58,0,0.534,0,0,0.535,0.213,0.395,0.553,0.209,0.529,0.764,0,0.169,0,0,0.142,0,0,0
"GO:0097159",0.297,0.829,0.556,0.558,0.558,0.631,0.21,0.246,0.578,0.578,0,0.531,0,0,0.532,0.214,0.396,0.55,0.209,0.527,0.76,0,0.169,0,0,0.142,0,0,0
"GO:0032555",0.559,0.556,0.97,0.967,0.967,0.463,0.156,0.175,0.935,0.935,0,0.936,0,0,0.933,0.91,0.24,0.902,0.929,0.931,0.528,0,0.133,0,0,0.115,0,0,0
"GO:0032553",0.56,0.558,0.967,0.969,0.913,0.464,0.156,0.175,0.937,0.937,0,0.934,0,0,0.881,0.912,0.241,0.904,0.93,0.928,0.529,0,0.133,0,0,0.115,0,0,0
"GO:0017076",0.56,0.558,0.967,0.913,0.969,0.464,0.156,0.176,0.938,0.938,0,0.934,0,0,0.935,0.912,0.241,0.904,0.156,0.928,0.529,0,0.133,0,0,0.116,0,0,0
"GO:0003723",0.634,0.631,0.463,0.464,0.464,0.943,0.172,0.195,0.477,0.477,0,0.445,0,0,0.446,0.174,0.28,0.459,0.172,0.442,0.736,0,0.144,0,0,0.124,0,0,0
"GO:0043168",0.209,0.21,0.156,0.156,0.156,0.172,0.961,0.801,0.16,0.16,0,0.15,0,0,0.151,0.164,0.254,0.92,0.161,0.889,0.197,0,0.137,0,0,0.118,0,0,0
"GO:0043167",0.245,0.246,0.175,0.175,0.176,0.195,0.801,0.919,0.181,0.181,0,0.168,0,0,0.168,0.185,0.309,0.762,0.182,0.733,0.229,0,0.151,0,0,0.129,0,0,0
"GO:0000166",0.58,0.578,0.935,0.937,0.938,0.477,0.16,0.181,0.963,0.963,0,0.903,0,0,0.904,0.937,0.251,0.928,0.16,0.897,0.547,0,0.136,0,0,0.118,0,0,0
"GO:1901265",0.58,0.578,0.935,0.937,0.938,0.477,0.16,0.181,0.963,0.963,0,0.903,0,0,0.904,0.163,0.251,0.928,0.16,0.897,0.547,0,0.136,0,0,0.118,0,0,0
"GO:0016874",0,0,0,0,0,0,0,0,0,0,0.989,0,0.864,0.864,0,0,0,0,0,0,0,0,0,0.221,0.198,0,0.33,0.158,0.196
"GO:0032559",0.534,0.531,0.936,0.934,0.934,0.445,0.15,0.168,0.903,0.903,0,0.976,0,0,0.975,0.877,0.227,0.871,0.896,0.97,0.505,0,0.129,0,0,0.112,0,0,0
"GO:0004812",0,0,0,0,0,0,0,0,0,0,0.864,0,0.997,0.997,0,0,0,0,0,0,0,0,0,0.822,0.935,0,0.269,0.763,0.173
"GO:0016875",0,0,0,0,0,0,0,0,0,0,0.864,0,0.997,0.997,0,0,0,0,0,0,0,0,0,0.192,0.175,0,0.269,0.143,0.173
"GO:0030554",0.535,0.532,0.933,0.881,0.935,0.446,0.151,0.168,0.904,0.904,0,0.975,0,0,0.976,0.878,0.227,0.873,0.15,0.969,0.506,0,0.129,0,0,0.112,0,0,0
"GO:0036094",0.213,0.214,0.91,0.912,0.912,0.174,0.164,0.185,0.937,0.163,0,0.877,0,0,0.878,0.958,0.259,0.157,0.164,0.871,0.201,0,0.138,0,0,0.12,0,0,0
"GO:0005488",0.395,0.396,0.24,0.241,0.241,0.28,0.254,0.309,0.251,0.251,0,0.227,0,0,0.227,0.259,0.59,0.237,0.253,0.225,0.354,0,0.197,0,0,0.161,0,0,0
"GO:0035639",0.553,0.55,0.902,0.904,0.904,0.459,0.92,0.762,0.928,0.928,0,0.871,0,0,0.873,0.157,0.237,0.971,0.154,0.94,0.523,0,0.132,0,0,0.115,0,0,0
"GO:0097367",0.209,0.209,0.929,0.93,0.156,0.172,0.161,0.182,0.16,0.16,0,0.896,0,0,0.15,0.164,0.253,0.154,0.962,0.89,0.197,0,0.137,0,0,0.118,0,0,0
"GO:0005524",0.529,0.527,0.931,0.928,0.928,0.442,0.889,0.733,0.897,0.897,0,0.97,0,0,0.969,0.871,0.225,0.94,0.89,0.977,0.501,0,0.128,0,0,0.112,0,0,0
"GO:0003676",0.764,0.76,0.528,0.529,0.529,0.736,0.197,0.229,0.547,0.547,0,0.505,0,0,0.506,0.201,0.354,0.523,0.197,0.501,0.875,0,0.161,0,0,0.136,0,0,0
"GO:0044183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998,0,0,0,0,0,0,0
"GO:0003682",0.169,0.169,0.133,0.133,0.133,0.144,0.137,0.151,0.136,0.136,0,0.129,0,0,0.129,0.138,0.197,0.132,0.137,0.128,0.161,0,0.988,0,0,0.104,0,0,0
"GO:0140098",0,0,0,0,0,0,0,0,0,0,0.221,0,0.822,0.192,0,0,0,0,0,0,0,0,0,0.984,0.879,0,0.35,0.695,0.204
"GO:0140101",0,0,0,0,0,0,0,0,0,0,0.198,0,0.935,0.175,0,0,0,0,0,0,0,0,0,0.879,0.994,0,0.296,0.801,0.184
"GO:0051082",0.142,0.142,0.115,0.115,0.116,0.124,0.118,0.129,0.118,0.118,0,0.112,0,0,0.112,0.12,0.161,0.115,0.118,0.112,0.136,0,0.104,0,0,0.996,0,0,0
"GO:0003824",0,0,0,0,0,0,0,0,0,0,0.33,0,0.269,0.269,0,0,0,0,0,0,0,0,0,0.35,0.296,0,0.73,0.214,0.292
"GO:0002161",0,0,0,0,0,0,0,0,0,0,0.158,0,0.763,0.143,0,0,0,0,0,0,0,0,0,0.695,0.801,0,0.214,1,0.149
"GO:0004386",0,0,0,0,0,0,0,0,0,0,0.196,0,0.173,0.173,0,0,0,0,0,0,0,0,0,0.204,0.184,0,0.292,0.149,0.995
